,Sex,Age,Bodyweight,Squat,Bench,Deadlift
2172319,M,20,83.46,135,100,187.5
1093922,M,26,85.37,182.5,97.5,185
403380,M,25,79.3,245,180,270
1148098,M,31.5,161,330,195,337.5
978575,M,26,119.5,235,155,240
1972297,M,21.5,73.55,205,155,220
1213393,M,25,83.3,185,117.5,207.5
1699256,M,15,60,130,67.5,150
328132,M,20.5,74.4,195,142.5,212.5
2449233,M,30,131.6,220,180,263
425112,M,53.5,100.4,197.5,132.5,207.5
1137695,M,23,89.6,192.5,142.5,272.5
534030,M,33.5,91.1,185,117.5,232.5
1932137,M,26.5,89.35,217.5,170,250
1870047,M,16.5,67.5,110,65,115
1721713,M,21,90,135,102.5,155
955844,M,21,81.2,215,142.5,240
1764860,M,24,84.1,137.5,120,205
557806,M,19,100,197.31,142.43,249.93
408000,M,20.5,89.6,220,130,252.5
666878,F,29,52,80,60,100
2118155,M,16,55.6,105,80,130
519161,M,18.5,103.2,235,152.5,235
1971259,M,21.5,88.3,300,170,270
123630,M,18,81.6,227.5,130,237.5
1576352,F,20,44.8,157.5,67.5,147.5
1816794,M,16.5,79.4,150,125,180
102445,M,30,90,180,110,202.5
1595736,F,16.5,50.14,135,70,130
443956,M,25,85.6,175,122.5,222.5
1509920,M,39.5,115.3,360,177.5,287.5
824184,F,16.5,54.88,65.77,31.75,83.91
1870292,M,20.5,81.9,282.5,180,275
1124612,M,15.5,69,195,95,185
37241,F,28,66.4,120,57.5,150
535263,M,20.5,97.9,185,145,205
1901194,M,15.5,72.3,155,75,155
246472,M,29.5,106,215,170,250
2963406,F,25,60,200,110,180
2438167,M,17.5,61.15,180,100,194
2224611,M,31,106.8,220,142.5,227.5
333129,M,16.5,120.1,205,147.5,242.5
385104,M,18.5,75,215,152.5,240
352851,M,17,75.9,170,122.5,205
1960620,F,26.5,62.9,195,105,195
474724,M,17.5,74.7,150,110,180
2042969,F,27,70.8,137.5,75,147.5
3017346,M,21.5,54.7,215,105,262.5
1228702,M,34,98.7,207.5,150,237.5
2343232,M,23,106.1,365,190,330
1280418,M,36.5,110,204.12,158.76,238.14
385478,M,20.5,73.6,230,137.5,265
532505,F,8.5,27.1,20,12.5,27.5
1534763,M,42,99.34,170,137.5,220
1958797,M,19.5,79.85,220,132.5,200
2660737,M,15.5,55.34,145.15,77.11,145.15
498189,F,27,67.45,142.5,62.5,160
140145,M,19.5,90.88,175,125,210
374515,M,29,100.8,172.5,127.5,232.5
2374656,M,27,90,238.14,158.76,294.84
3019951,F,22,51.4,192.5,120,162.5
5066,M,28.5,81.62,270,140,250
2482189,M,33.5,82.19,210,135,270
1189907,M,26,89.7,300,222.5,230
453536,M,26.5,86.3,142.5,100,182.5
2260495,M,40,64.4,165,120,247.5
1710702,F,15,47,95,52.5,105
484953,M,26,73.9,200,105,230
521032,M,17.5,89.2,206.4,152,240.4
401715,M,20.5,103.1,240,150,227.5
289457,F,47,77.1,117.5,62.5,147.5
1195572,M,31.5,89.1,370,220,282.5
1484812,M,38,90,265,177.5,295
396691,M,16.5,74.45,205,100,220
1484597,M,14.5,75,215,130,227.5
2218712,M,20,139.48,232.5,187.5,252.5
3014882,M,41.5,82.1,230,142.5,267.5
1215323,M,48,108.3,235,177.5,245
2016708,M,25.5,102.2,250,150,260
655564,M,19.5,85.7,200,127.5,220
621808,M,33,80,185,135,230
2343300,M,25,88,230,150,240
481150,F,41.5,83.9,77.5,47.5,110
2107810,M,23,80,235,165,227.5
486130,M,28,91.1,250,142.5,252.5
1956048,M,14.5,57.1,92.5,65,115
2403713,F,16,52.3,70,30,110
1915675,F,16.5,56.06,110,57.5,105
532808,M,21.5,98.65,222.5,140,237.5
189433,M,59,74,180,105,205.5
385838,F,40,51.8,120,105,132.5
1779663,M,32,99.8,305,180,367.5
2118008,M,27,97.66,222.5,175,282.5
191288,M,20,73.7,190,120,190
4709,M,18.5,74.1,205,117.5,240
474965,M,20.5,81.54,202.5,122.5,197.5
392994,F,18.5,65.2,136.1,56.7,127
1983399,M,33,180.1,250,137.5,230
1840565,M,24.5,153,305,190,240
1646100,M,13.5,31.5,60,40,80
1182643,M,24,124.8,530,435,360
12749,M,25,82.7,200,200,200
1146848,M,61.5,89.7,150,122.5,190
1910347,M,15.5,95.8,115,80,140
928023,M,25,90,285,180.5,275
87531,F,21,52,75,40,90
368474,F,30.5,100,100,72.5,117.5
537008,F,19.5,80.6,152.5,75,165
1873537,F,28.5,66.6,195,135,180
1774067,M,24,84.9,220,137.5,245
2955716,F,35,55,100,60,140
2511260,F,21,61.4,125,65,135
372645,F,29.5,70.1,80,50,120
2437534,M,29.5,112.7,135,107.5,202.5
2047549,M,20,99.1,180,150,245
589268,M,22.5,87,190,140,217.5
3007753,M,28.5,142.7,345,220,340
1052793,M,39,87.5,155,125,210
1680982,M,52,99,175,115,230
2790375,M,16.5,81.47,199.58,117.93,174.63
1932585,M,25.5,82.6,220,145,225
2484425,F,21,62.35,165,85,177.5
511006,M,24.5,121.8,260,150,265
333094,M,21.5,72.8,180,115,200
260196,F,22.5,71.2,162.5,105,142.5
3019162,F,52,56.26,102.5,67.5,105
1913685,M,53.5,81.5,170,107.5,175
1710660,M,18,90,182.5,182.5,215
3029381,M,40.5,82.4,225,170,225
1979249,M,31.5,81.25,215,120,275
2018141,M,26.5,88.45,190,120,260
2013260,M,16.5,80.02,175,80,207.5
357537,M,34.5,65.7,180,120,265
1340732,M,18,56,111.13,72.57,140.61
41472,M,25,66.1,110,70,140
1968481,M,21.5,83,240,195,235
531356,M,23,82.7,227.5,162.5,247.5
2299732,M,16.5,73.75,115,77.5,165
2188315,M,20,80.8,210,115,275
1599434,F,43,69.4,72.5,45,130
1627231,M,20.5,113.82,230,145,265
502252,M,25.5,73.3,182.5,132.5,192.5
330838,F,22.5,82.1,135,75,187.5
2233008,M,21,95.3,220,142.5,265
447043,M,22.5,85.8,195,122.5,210
1896388,M,17.5,96.5,120,77.5,150
431286,F,40,82.2,105,67.5,150
1970872,M,21.5,72.95,180,130,190
1206227,F,30.5,59.04,136.08,58.97,147.42
2323438,M,29.5,88.1,190,150,200
2057594,F,34.5,150,142.5,70,157.5
874030,F,16.5,48.44,113.4,58.97,102.06
2484440,F,21,82.7,167.5,90,195
630873,M,54,102,217.5,145,257.5
2292550,F,14,47.54,77.11,47.63,95.25
488067,F,31.5,66.5,127.5,62.5,167.5
1120607,F,20.5,50.7,90,45,102.5
2491729,M,44.5,92.49,255,192.5,260
442309,F,31,66.65,147.5,55,157.5
1917939,M,15.5,67.45,140,97.5,165
417743,M,18.5,76.4,127.5,92.5,147.5
1528910,M,21.5,79.47,145,97.5,217.5
1687524,M,30,99,265,160,242.5
2027945,M,28,108.41,208.65,165.56,251.74
905996,F,18.5,80.35,170.1,77.11,151.95
691905,M,17.5,94.65,172.5,102.5,195
389184,M,22.5,87.9,197.5,137.5,217.5
3000323,M,29.5,91.27,360,282.5,350
2488508,F,19.5,75.66,187.5,77.5,165
1966827,F,16.5,53.2,70,42.5,72.5
353992,M,16.5,166.45,215,152.5,250
1884097,M,48.5,116.2,270,215,260
541993,M,18.5,58.9,132.5,87.5,162.5
765988,M,21,80.85,160,72.5,185
1604300,F,17,56.2,70,42.5,80
1105048,F,22.5,55.75,112.5,50,140
484977,M,17.5,116.8,170,115,210
569184,M,21.5,81.4,142.5,87.5,155
1225780,F,59,64.4,70,67.5,112.5
1883714,M,17.5,72.35,152.5,100,182.5
2750625,M,16.5,88.5,192.78,106.59,192.78
586855,F,52,87.65,110,55,120
2170241,M,22,73.48,230,185,250
2423872,F,54,76.4,115,65,135
458310,M,34.5,92.3,195,127.5,227.5
1069255,M,25,87.1,325,175,252.5
2196849,F,36,48,62.5,52.5,100
1301461,M,18.5,67.5,185.97,99.79,192.78
2879865,M,16,93.44,192.78,136.08,190.51
1038360,M,23,88,180,130,205
1157961,M,54,81.3,152.5,110,215
2280052,M,26.5,92.62,249.48,195.04,235.87
1699347,M,23,74.59,257.5,182.5,255
540143,M,28.5,119.9,290,205,310
1871097,M,18.5,82.7,260,190,230
2364573,M,15.5,64.2,130,75,157.5
502209,M,29,107.4,265,160,300
1497129,M,45.5,82.5,145,110,182.5
2413250,M,28.5,88.6,150,87.5,192.5
1956544,M,19.5,65.65,110,65,150
462466,F,17.5,121.7,170,65,155
2070647,M,20,66.4,172.5,102.5,227.5
2844732,M,17.5,54.16,163.29,90.72,158.76
304836,M,27,88.95,187.5,140,232.5
1307021,F,41,67.5,205,115,190
1137931,F,29,81.5,197.5,120,235
1826840,F,43.5,55.85,97.5,52.5,140
1916541,M,23.5,89.25,297.5,200,302.5
117067,M,23,92.9,300,190,337.5
301514,M,17,72.8,235,135,235
1407328,M,52,90,142.88,56.7,204.12
1784361,M,63.5,89.7,195,150,195
339000,F,20.5,52.45,82.5,37.5,102.5
1490853,M,27,100,181.44,138.35,222.26
2266638,F,26,66.9,97.5,55,125
1003587,M,21.5,98.7,335,205,285
950861,M,33,90,200,140,225
181103,M,24,98.4,310,220,270
1916852,M,18.5,122.4,215,127.5,200
2309798,F,27.5,74.21,130,87.5,147.5
984028,M,37,95.5,264,188,293
1982160,F,27,66.9,150,95,170
384367,M,18.5,92,187.5,127.5,257.5
1678835,M,20.5,72.9,272.5,155,240
1745275,F,16.5,67.5,150,97.5,155
1612894,M,59,65.4,135,80,155
670762,M,31.5,85.8,245,172.5,255
461746,F,36,59.15,152.5,80,180
500040,F,55.5,72.7,82.5,42.5,92.5
1081205,M,29.5,85.21,210,152.5,295
399158,M,19.5,88.6,267.5,147.5,290
1093668,F,18,81.65,115,65,137.5
678434,M,28.5,89,220,127.5,240
1861732,M,21.5,74.45,260,190,235
85966,F,26.5,60.71,110,60,125
2235724,M,16,106,182.5,115.5,225
591074,F,31.5,58.4,85,70,100
1100667,M,20.5,73.5,197.5,137.5,252.5
2477297,M,58.5,72.55,180,112.5,195
997957,F,27.5,57,105,62.5,125
558090,M,22.5,93.08,197.31,142.88,213.19
293684,F,32.5,106.78,212.5,85,195
1511472,F,28,75.8,181.44,104.33,208.65
1098871,F,27,84,105,65,165
1446264,M,37.5,90,324.32,190.51,322.05
1219573,M,20,65.5,155,127.5,165
1233846,M,30,140,476.27,353.8,322.05
2570861,M,38.5,97.4,280,190,277.5
2228685,M,20,106.8,147.5,115,182.5
422556,M,20.5,78.7,170,115,207.5
495624,M,28.5,131.8,200,150,280
1033466,M,36,98,220,157.5,270
1967230,M,23,82.15,325,250.5,270
1234801,M,26,110,255,190,315
24290,F,24.5,59.9,102.5,52.5,130
1096840,M,23,119.4,242.5,150,210
1545697,F,20.5,71.76,157.5,80,175
280698,M,18,135.5,245,142.5,245
1674849,M,20,93.5,205,115,222.5
2223396,M,25,139.3,245,192.5,280
386181,F,21.5,62.2,95,45,130
1742253,F,18,55.8,137.5,57.5,142.5
213135,M,48,100,220,185,255
1153473,F,28.5,79.7,147.5,77.5,170
620406,M,26,118.3,340,210,290
477322,F,23.5,68.1,120,57.5,130
729038,M,23,81.1,210,155,230
604973,M,30.5,80.7,227.5,172.5,227.5
2261458,M,22,106,272.5,190,295
362099,M,19.5,99.5,197.5,150,230
1955915,M,14.5,91.8,205,130,200
1646012,F,28.5,49.3,62.5,40,65
2090316,F,21,79.5,162.5,67.5,170
953778,M,29,88,200,140,230
1959497,M,43,118.25,272.5,225,320
384067,M,27.5,99.91,250,160,275
904051,F,14.5,60.06,102.06,47.63,120.2
2167401,M,45,123,190,102.5,200
2477143,M,22.5,90.09,260,157.5,302.5
1811997,M,19.5,65.5,135,77.5,147.5
2676212,M,17.5,66.68,204.12,120.2,215.46
304403,M,29,106.9,250,142.5,240
2437551,M,15,82.3,128,78,180
2181842,F,22,65.7,117.5,65,127.5
73551,M,17.5,75,195,142.5,230
1106706,F,22,69.5,120,55,142.5
1126373,M,15.5,83.15,180,115,205
485324,M,23.5,115.3,200,175,250
2110877,M,26,74.5,242.5,165,305
1323989,M,48,100,347,147.42,231.33
326238,F,24.5,58.2,142.5,70,165
1982110,M,24,115.35,230,117.5,220
1860289,M,16.5,67.2,245,135,205
2330327,M,38,116.4,277.5,182.5,290
728337,M,16.5,62.7,175,97.5,206
514150,F,51.5,72.67,122.5,75,160
527387,F,13.5,116.9,40.8,40.8,79.4
2408969,M,28.5,90.5,237.5,150,240
11622,M,11.5,40,92.5,45,80
596409,M,46.5,82.3,295,185,290
1027775,M,42,81.2,165,117.5,192.5
1585358,M,48.5,125.6,300,165,280
424817,F,12.5,49.75,80,42.5,92.5
435753,M,36.5,73.9,70,70,232.5
270921,M,17,64.6,160,97.5,202.5
1139276,F,19.5,74,122.5,72.5,130
1191704,M,67,74.1,235,112.5,162.5
447399,M,23.5,80.7,172.5,107.5,210
2091126,F,36,55.9,127.5,85,155
476707,M,38.5,128.6,190,147.5,235
1860654,F,24.5,62,85,50,112.5
1807884,M,19.5,82.5,265,170,265
1816296,M,19.5,73.8,245,140,212.5
1543655,M,23,67.99,162.5,102.5,192.5
3037129,M,17.5,60.16,232.5,127.5,215
212312,M,36,82.5,235,102.5,285
563316,M,29,99.52,310,187.5,280
1722810,F,17,123.6,150,92.5,172.5
131276,M,47.5,95.2,135,75,175
281918,M,40,101.2,180,135,215
2004548,M,65.5,97.3,57.5,82.5,115
2238446,F,28,81.1,120,60,155
950834,F,43,59.9,97.5,50,132.5
2191187,M,15,83.6,182.5,112.5,175
1892736,F,13.5,49.05,80,32.5,90
2368949,M,38.5,118.55,335,265,322.5
468580,M,38,57.6,102.5,85,130
1139363,M,20.5,81.8,210,147.5,230
183981,M,50,109,215,120,225
2352822,F,18,78.47,95,50,117.5
674475,M,23.5,94.4,255,162.5,280
362495,M,22,81.4,190,105,232.5
2515514,F,26.5,58.9,115,62.5,140
2178825,M,18,74,165,107.5,215
1935547,M,21.5,81.8,215,177.5,220
349273,M,17.5,78.9,182.5,125,227.5
749272,M,54.5,90,275,162.5,282.5
446727,M,45.5,82.7,167.5,107.5,197.5
412808,M,21.5,76.16,187.5,85,187.5
2256666,M,26,106.4,205,150,240
511472,F,26.5,62.65,97.5,47.5,102.5
484108,M,29.5,94.98,174.6,142.9,183.7
2148603,M,28,98.35,230,172.5,257.5
272954,F,46,47.6,115,52.5,120
1991528,M,21,102.56,160,160,245
2187961,F,26,66.2,140,92.5,150
2875011,M,16.5,66.77,174.63,104.33,149.69
1883497,M,17.5,59.6,237.5,125,232.5
1673270,F,24.5,56.8,100,47.5,120
3037041,F,16.5,42.5,97.5,60,117.5
407845,M,16.5,91.5,250,127.5,220
564446,F,15.5,70.34,120,52.5,150
2294858,F,11,59.69,90.72,38.56,97.52
2482228,M,35.5,119.6,285,197.5,290
580041,M,17.5,82.2,175,140,225
1616067,M,27,72.4,140,120,180
885510,F,17.5,74.3,92.99,36.29,65.77
2473259,F,41.5,62.9,150,77.5,155
1051472,M,29,71.8,182.5,132.5,215
2277741,M,36,106.8,250,180,260
1968685,F,16.5,58.75,107.5,50,95
485820,F,24.5,61.3,105,50,137.5
473124,F,32.5,76.15,147.5,95,170
1067455,M,19,71.65,180,135,200
2225848,F,41,87.1,102.5,72.5,120
2253044,F,30,96.2,210,107.5,200
725980,M,14,54.9,80,45,130
541877,M,32.5,92.15,140,97.5,192.5
1145850,M,16.5,58.9,85,40,120
2461908,M,23.5,109.2,305,182.5,295
1984075,M,23,109.5,240,180,232.5
2242431,M,35,105.4,272.5,142.5,325
1963120,M,21.5,120,390,250,340
317830,M,37,122.83,308.44,204.12,276.69
2203242,M,30,78.4,137.5,95,172.5
1859532,M,28.5,97.15,310,200,320
290735,F,36,111.15,160,82.5,200
1158466,F,25,62.5,125,60,120
1617880,M,22,71.5,145,105,170
2018727,M,25,122.02,192.78,136.08,235.87
2487481,M,37.5,98.53,380,245,355
362626,M,33,101.5,297.5,230,322.5
862861,F,18,82.28,79.38,36.29,79.38
100915,M,26.5,85.6,180,125,240
1635174,M,39.5,82.5,175,117.5,185
2173105,M,65,121,182.5,130,210
2964871,M,27,81.4,240,130,235
224161,M,17,78.5,155,110,185
1721473,M,22,86.7,232.5,155,245
2574963,F,29.5,69,90,47.5,125
2201140,M,23,65.4,180,100,250.5
376118,F,22.5,65.58,120,67.5,147.5
2945491,M,18.5,59.87,117.93,86.18,138.35
1123489,F,17.5,55.5,115,62.5,132.5
481065,M,29.5,81.5,185,125,195
126821,M,51.5,80.5,140,102.5,195
1044562,M,16,59.3,95,57.5,115
1917395,M,16.5,63.7,140,75,175
490392,F,29.5,67.12,177.5,77.5,182.5
1141662,M,22.5,90.3,215,157.5,237.5
2164231,M,23,89.1,257.5,182.5,270
1800030,M,36,82,190,140,192.5
372731,M,22.5,63.8,232.5,150,232.5
2170916,M,32,112.2,217.5,147.5,260
2327511,M,32,99.2,215,157.5,240
1217025,M,27,80.1,190,145,210
2994149,M,64,59.5,110,92.5,167.5
65736,F,40.5,51.6,85,55,127.5
1843022,F,23.5,47,87.5,65,105
196906,F,22,59.7,115,67.5,135
715556,M,15.5,64.9,150,70,150
2130906,M,24,172.5,252.5,155,282.5
1548893,M,31,91.76,285,195,270
377384,M,21.5,65.34,155,95,160
3006828,F,30.5,46.6,112.5,75,145
87242,F,29,67.6,122.5,67.5,150
2425746,M,32,73.2,175,97.5,185
390886,M,20.5,65.9,185,110,215
1770947,F,42,73.6,117.5,67.5,132.5
496529,M,63,86.2,160,85,160
1284697,M,20.5,125,249.48,167.83,254.01
2209596,F,25,66.2,120,72.5,152.5
1100418,M,25,80.6,205,122.5,245
1968414,M,24.5,82.6,200,160,190
1406778,M,19,66.6,212.5,147.5,205
2465407,M,60.5,72.66,115,85,175
419303,M,24.5,73.7,175,112.5,202.5
2062688,M,21,104.1,210,132.5,270
2269211,M,43,95.2,250.5,177.5,282.5
1629457,M,17.5,99.9,175,125,220
1837126,M,33.5,103.9,280,185,280
1822936,M,16.5,69.7,190,102.5,190
1802122,M,16.5,72.8,150,100,190
2160098,F,21,55.6,142.5,72.5,162.5
2193508,M,27,106.4,225,137.5,262.5
2403171,F,28,73.6,80,55,130
2020212,M,30,102.74,192.78,142.88,256.28
1088199,M,31,125,340,200,342.5
498597,M,22.5,90.9,170,125,230
395106,F,36.5,88.5,95,65,115
282494,F,43,87,120,75,132.5
1801949,M,24.5,89.2,220,125,205
2196872,M,29,84.3,200,110,230
2498123,M,19.5,62.9,205,105,190
752860,F,41,72.12,249.48,138.35,199.58
334132,M,60.5,82.4,170,112.5,195
539935,M,23.5,66,192.5,110,225
2256710,M,18,99.4,215,130,215
2976983,M,42.5,82.1,180,170,220
1582211,F,14,51.8,65,25,75
906521,F,16.5,42.86,95.25,43.09,95.25
1961805,F,18.5,54.8,77.5,55,90
1943623,F,15.5,63,97.5,60,117.5
1676405,M,21.5,91.2,232.5,180,275
1959424,M,42.5,96.8,290,190,285
512132,M,22.5,89.3,312.5,177.5,285
2071814,M,18,90,170,147.5,227.5
733932,M,19,74.9,200,153,237.5
1743333,F,15,67.9,122.5,75,125
1823807,M,24.5,65.5,225,145,210
136871,M,36.5,113.9,277.5,202.5,267.5
2228832,M,35,120.2,265,200,282.5
2186317,M,25,107.46,227.5,150,272.5
1206536,M,47,86.64,138.35,92.99,172.37
1901883,M,24.5,91.36,242.5,147.5,270
463930,F,21.5,54.4,82.5,35,105
740169,M,17,76.3,150,100,202.5
2169232,M,29,88.6,215,117.5,260
470853,M,23.5,99.1,190,130,220
2095925,F,37,105.5,127.5,67.5,172.5
981999,F,28,66.8,127,68,170
1279545,M,22.5,90,208.65,163.29,222.26
1678494,F,15,66.3,65,32.5,95
336757,M,21.5,117.6,200,142.5,212.5
1923315,M,21.5,63.05,220,132.5,185
450249,F,32,99.4,150,85,142.5
1383002,M,13.5,75,174.63,111.13,204.12
2098915,M,24,124.4,310,185,295
1323249,M,18.5,67.5,172.37,102.06,190.51
934829,F,18,54.9,102.5,72.5,142.5
1687260,M,19,89.98,240,165,227.5
1224819,M,51,86.45,182.5,142.5,220
1086471,F,42,67.4,160,80,175
1983229,F,32,60,150,85,160
1956587,F,15.5,59.7,60,35,85
280879,M,28.5,82.6,140,102.5,165
711853,M,35.5,117.6,305,217.5,300
451005,M,22.5,74.16,230,157.5,247.5
88327,M,33,114.2,272.5,160,270
980191,M,31,139.7,280,154,310
1042423,M,21,81.7,160,115,225
2261694,F,45,66.9,152.5,85,175
348348,F,23.5,59.6,80,40,110
49333,M,28,116,252.5,165,307.5
2206453,F,27,63.5,95,57.5,112.5
971591,M,28,125,263.08,210.92,281.23
1661772,M,26,103,340,222.5,307.5
1655349,M,17,85.4,175,125,220
3041131,M,23,82.65,262.5,167.5,350
524164,M,19,80.92,207.5,127.5,250
2484925,F,19.5,48,160,90,152.5
2636330,M,16.5,74.93,192.78,90.72,181.44
3031752,M,62.5,119,245,180,255
1412397,M,48,82.5,262.5,167.5,285
1618985,F,21.5,68.1,120,60,137.5
2437240,M,35,76.58,207.5,125,217.5
1152264,M,34.5,136.5,420,285,360
2908908,M,17.5,91.63,249.48,131.54,222.26
2531086,F,37,55,112.5,45,120
2165049,M,61,80.1,130,120,187.5
3019131,M,71.5,80.55,210,130,200
1598451,F,15,59.4,30,25,50
2485993,F,59.5,101.03,125.5,65,147.5
2199333,F,34,59.6,135,87.5,160
378854,F,16.5,67.1,92.5,50,105
41058,F,13,82.5,67.5,30,85
1583421,M,18.5,91.75,247.5,152.5,245
1700497,M,17,97,252.5,122.5,205
1915874,M,28.5,97.5,255,180,245
2227994,M,24,109,190,120,217.5
441468,M,18.5,79.5,177.5,120,205
2106352,M,22,88.8,192.5,105,210
1100497,M,25,126.8,240,130,265
271708,F,53.5,78.6,120,45,130
2451170,M,17,92.15,130,80,210
2256530,F,31,59,90,55,125
1067461,M,24,71.4,210,137.5,215
453637,F,23.5,59.5,152.5,60,152.5
60290,M,20.5,73.92,210,130,240
2316526,M,22.5,88.6,215,150,250
396477,M,44.5,88.5,195,135,230
304144,M,36,87.2,190,112.5,215
2450525,M,36,99.1,303,192.5,262.5
473079,M,24.5,73.8,152.5,107.5,185
2080285,M,30,80.29,192.5,137.5,237.5
2483978,M,46.5,105.8,235,170,240
2055997,M,31,92.7,240,142.5,250
1775496,M,50,99.3,245,155,300
997096,M,20.5,81.3,200,117.5,210
2413966,M,35,102.1,275,185,282.5
1965934,F,18.5,43.9,80,50,97.5
2335728,M,13.5,110,195.04,127.01,204.12
1921882,M,31,82.4,220,140,207.5
2427726,F,51.5,56.2,80,45,107.5
306321,M,22,123.3,250,135,260
399812,M,21.5,85.3,195,97.5,220
398830,F,16.5,72.4,105,60,142.5
1985492,M,43,158.3,235,220,255
717010,M,34.5,150.8,380.5,200,340
1605572,M,24,82.15,260,170,330
2075523,F,43,59.7,125,67.5,155
1006653,M,17.5,80.85,176.9,111.13,210.92
2235904,M,22,74.3,177.5,125,250
758432,M,29,141.3,220,135,310
2237585,F,24,80.6,102.5,55,137.5
1717677,F,16,90,122.5,72.5,125
1795976,M,27.5,87.75,190,110,200
2194310,M,19,88.5,192.5,137.5,242.5
1746341,M,18.5,65.6,190,122.5,167.5
844302,F,15,73.94,138.35,56.7,156.49
2414198,M,33.5,93,190,122.5,200
507314,M,17.5,65.4,180,112.5,187.5
2254000,M,20,79.2,200,135,245
735387,M,22.5,102.5,260,150,230
1621869,M,17,72.5,180,125,190
2011296,M,46.5,80.6,220,142.5,235
1416752,F,41,53.8,110,47.5,137.5
1942380,F,18.5,83.7,137.5,80,160
934512,M,50,74.1,210,130,200
406222,M,23.5,86.65,242.5,137.5,220
418549,F,21.5,59.38,127.5,82.5,120
503669,M,38.5,90.6,202.5,165,262.5
2398419,F,19,70.05,152.5,100,170
106494,M,14.5,103.3,100,50,135
46245,M,57,135.9,60,142.5,262.5
1594105,M,24.5,75.5,295,180,292.5
1927821,M,16.5,78.5,137.5,90,155
2447016,F,20,51.1,87.5,45,105
1706937,M,15,58.83,133.81,61.23,167.83
457402,F,21.5,66.8,125,75,140
1708857,F,26,67.9,57.5,45,105
1616888,M,20.5,81.9,212.5,135,220
2971173,M,24,120,240,155,275
1299697,M,17.5,82.5,181.44,113.4,210.92
1055007,M,20,74,140,85,150
656370,M,17.5,83.36,140,95,197.5
470329,F,22.5,71.8,120,62.5,147.5
151304,M,20.5,74.7,145,107.5,180
2106699,F,41,66.59,137.5,68,137.5
352121,F,49,85.15,115,67.5,162.5
2158882,M,59,99.7,212.5,117.5,205
2234716,M,29,109.3,230,165,250
1165708,M,22.5,73.8,165,120,160
2055006,F,33,67.5,165.56,102.06,158.76
1741498,M,19,90,227.5,167.5,227.5
2018382,M,24.5,92.4,200,132.5,220
1641077,F,49,67,110,80,140
2099926,M,32,81.91,142.5,90,207.5
449909,M,21.5,165.6,170,130,220
1496391,M,23,125,385,252.5,282.5
755683,F,20,51.8,125,65,160
1176976,M,31,82.5,207.5,137.5,230
1530329,M,20.5,72.17,165,90,225
1770005,M,37,98.1,215,142.5,235
1580376,M,18,59,140,80,170
2016463,M,17.5,105.4,237.5,135,250
2296590,M,20,79.97,167.83,113.4,215.46
476403,M,46,131.7,240,165,225
1865856,F,21.5,46.9,115,57.5,127.5
2444707,F,35.5,55.4,60,42.5,100
